Gen 1 Scatter: 0.001605, Gather: 0.000330, Run: 68.255984, Select: 0.024323
Gen 2 Scatter: 0.000218, Gather: 0.000247, Run: 37.653380, Select: 0.021571
Gen 3 Scatter: 0.000229, Gather: 0.000307, Run: 35.022557, Select: 0.045242
Gen 4 Scatter: 0.000384, Gather: 0.029087, Run: 53.895407, Select: 0.051578
Gen 5 Scatter: 0.000298, Gather: 0.000457, Run: 32.323441, Select: 0.097046
Gen 1 Scatter: 0.000239, Gather: 0.000288, Run: 48.731887, Select: 0.028457
Gen 2 Scatter: 0.000277, Gather: 0.000257, Run: 28.077215, Select: 0.020748
Gen 3 Scatter: 0.000222, Gather: 0.000236, Run: 32.742423, Select: 0.024642
Gen 4 Scatter: 0.000384, Gather: 0.000275, Run: 41.767012, Select: 0.023399
Gen 1 Scatter: 0.000471, Gather: 0.000385, Run: 45.895935, Select: 0.031864
Gen 2 Scatter: 0.000355, Gather: 0.000371, Run: 63.926455, Select: 0.039110
Gen 3 Scatter: 0.000366, Gather: 0.000337, Run: 55.325790, Select: 0.041587
Gen 4 Scatter: 0.000816, Gather: 0.000368, Run: 67.905581, Select: 0.036996
Gen 5 Scatter: 0.000303, Gather: 0.000303, Run: 58.309234, Select: 0.038593
Gen 1 Scatter: 0.000364, Gather: 0.000305, Run: 47.572248, Select: 0.043806
Gen 2 Scatter: 0.000274, Gather: 0.000512, Run: 60.897817, Select: 0.038743
Gen 3 Scatter: 0.000258, Gather: 0.000283, Run: 58.881157, Select: 0.041918
Gen 4 Scatter: 0.000527, Gather: 0.000577, Run: 71.421120, Select: 0.046135
Gen 5 Scatter: 0.000432, Gather: 0.000498, Run: 66.015319, Select: 0.047377
Gen 1 Scatter: 0.000362, Gather: 0.000339, Run: 66.611446, Select: 0.045036
Gen 2 Scatter: 0.000622, Gather: 0.000656, Run: 80.324763, Select: 0.060372
Gen 3 Scatter: 0.000278, Gather: 0.000297, Run: 108.213119, Select: 0.036689
Gen 4 Scatter: 0.000603, Gather: 0.000294, Run: 68.431631, Select: 0.033108
Gen 5 Scatter: 0.000458, Gather: 0.000296, Run: 53.828406, Select: 0.039161
Gen 1 Scatter: 0.000378, Gather: 0.000342, Run: 49.823456, Select: 0.036850
Gen 2 Scatter: 0.000317, Gather: 0.000422, Run: 42.929283, Select: 0.039602
Gen 3 Scatter: 0.000322, Gather: 0.000438, Run: 70.196788, Select: 0.050990
Gen 4 Scatter: 0.000349, Gather: 0.000306, Run: 48.175061, Select: 0.032375
Gen 5 Scatter: 0.000316, Gather: 0.000448, Run: 48.283922, Select: 0.039083
Gen 1 Scatter: 0.000413, Gather: 0.005204, Run: 53.626645, Select: 0.050288
Gen 2 Scatter: 0.000344, Gather: 0.000312, Run: 66.591054, Select: 0.049177
Gen 3 Scatter: 0.000393, Gather: 0.000346, Run: 54.418268, Select: 0.045525
Gen 4 Scatter: 0.000283, Gather: 0.000345, Run: 49.988500, Select: 0.042136
Gen 5 Scatter: 0.000346, Gather: 0.000301, Run: 54.971882, Select: 0.042016
Gen 1 Scatter: 0.000640, Gather: 0.001179, Run: 113.304571, Select: 0.083896
Gen 2 Scatter: 0.000617, Gather: 0.000405, Run: 82.660105, Select: 0.073372
Gen 3 Scatter: 0.000481, Gather: 0.000483, Run: 85.522712, Select: 0.074580
Gen 4 Scatter: 0.000442, Gather: 0.000679, Run: 104.693903, Select: 0.072191
Gen 5 Scatter: 0.000395, Gather: 0.000369, Run: 69.774484, Select: 0.081505
Gen 1 Scatter: 0.000600, Gather: 0.000470, Run: 102.108718, Select: 0.081548
Gen 1 Scatter: 0.000621, Gather: 0.000458, Run: 105.905481, Select: 0.071249
Gen 2 Scatter: 0.000797, Gather: 0.000719, Run: 90.828069, Select: 0.072954
Gen 3 Scatter: 0.000444, Gather: 0.000441, Run: 88.862732, Select: 0.064236
Gen 4 Scatter: 0.000544, Gather: 0.000714, Run: 78.070382, Select: 0.064012
Gen 5 Scatter: 0.000438, Gather: 0.000450, Run: 111.216976, Select: 0.083127
